"name","group","element","units","context","S35227","S35228","S35229","S35230","S35231","S35232","S35233","S35234","S35235","S35236","S35237","S35238","S35239","S35240","S35241","S35242","S35243","S35244","S35245","S35246","S35247","S35248","S35249","S35250","S35251","S35252","S35253","S35254","S35255","S35256","S35257","S35258","S35259","S35260","S35261","S35262","S35263","S35264","S35265","S35266","S35267","S35268","S35269","S35270","S35271","S35272","S35273","S35274","S35275","S35276","S35277","S35278","S35279","S35280","S35281","S35282","S35283","S35284","S35285","S35286","S35287","S35288","S35289","S35290","S35291","S35292","S35293","S35294"
Ambrosia-type,UPHE,pollen,NISP,,10,12,4,8,13,7,3,3,5,11,4,9,8,3,5,5,8,3,7,4,8,7,8,7,18,11,11,14,9,8,4,4,14,27,8,8,7,5,8,10,2,5,7,2,6,3,10,9,15,14,7,9,9,11,9,15,24,13,15,10,9,14,13,12,8,9,7,9
Apiaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,1,,,,,2,,1,,,,,,,1,,1,2,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,
Artemisia,UPHE,pollen,NISP,,46,32,20,16,24,38,47,33,36,41,30,35,40,42,43,37,38,36,26,29,27,37,37,45,40,32,20,32,41,45,32,38,35,41,32,32,33,30,25,35,23,24,30,26,33,37,82,113,110,196,183,166,105,151,107,121,204,232,109,139,71,129,140,133,152,86,101,144
Asteraceae undiff.,UPHE,pollen,NISP,,13,9,8,8,11,12,3,6,10,6,4,5,3,5,11,4,14,8,8,6,8,8,13,4,8,6,4,5,6,8,6,2,11,11,7,3,5,4,10,5,5,7,4,2,3,,7,6,9,15,16,13,3,13,13,12,12,14,8,11,3,12,7,8,5,5,6,6
Betula,TRSH,pollen,NISP,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,
Brassicaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caltha-type,UPHE,pollen,NISP,,1,2,,,2,1,1,,,1,,,,,,1,,1,,,,1,,,,,,,1,2,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,1,1,,,,,1,,1,
Caryophyllaceae,UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Cyperaceae,UPHE,pollen,NISP,,5,1,11,16,3,3,6,2,,4,10,5,2,5,5,3,4,4,4,,3,3,3,3,2,6,3,4,7,2,1,2,6,2,3,4,2,2,3,,4,3,3,,1,,6,7,8,4,2,,1,4,2,2,6,4,,3,,,,,1,1,1,1
Ephedra torreyana-type,TRSH,pollen,NISP,,,,,,,2,,,2,1,,,1,,,1,,,1,,1,,,,,,,,,1,3,1,,1,,,2,,1,1,,,,,,,1,1,,,,,,,,,,1,,,1,,,,,,,
Ephedra undiff.,TRSH,pollen,NISP,,4,3,3,2,1,5,3,1,2,2,,2,3,1,1,1,,2,2,1,4,2,1,3,6,,,,,2,3,2,,2,1,1,2,,1,1,,,,,,,1,1,1,1,,,,,,1,1,1,,,1,,,,,,1,
Ephedra viridis-type,TRSH,pollen,NISP,,,,,,,3,,,,1,,2,1,1,,,,,1,,3,2,1,3,6,,,,,1,,1,,1,1,1,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,1,
Eriogonum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,1,,1,2,,,,,,,,
Fabaceae,UPHE,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraxinus,TRSH,pollen,NISP,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Gentianaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juglans,TRSH,pollen,NISP,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juniperus,TRSH,pollen,NISP,,2,22,10,9,10,6,4,3,3,3,7,8,2,1,12,1,11,5,1,6,4,,2,8,5,6,4,,4,7,2,2,2,10,,5,5,3,8,2,3,4,2,1,,2,10,4,6,4,,,5,4,2,3,2,8,1,3,1,1,2,,1,2,,
Liliaceae,UPHE,pollen,NISP,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,1,,,,1,,1,,1,3,,,1,1,,1,,1,,,,,,,,,,
Myriophyllum,AQVP,pollen,NISP,,,,7,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,1,1,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
Nuphar,AQVP,pollen,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onagraceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pediastrum,ALGA,colony,NISP,,71,104,63,57,69,84,84,99,63,46,83,71,98,105,92,74,125,127,82,108,125,153,106,80,203,202,158,41,123,254,294,130,198,179,359,260,226,116,33,102,48,23,22,178,7,6,11,29,89,397,319,999,237,252,343,630,275,241,265,112,85,14,,,,,,
Picea,TRSH,pollen,NISP,,70,46,70,50,38,54,70,103,104,110,80,99,108,84,69,79,69,106,104,88,75,87,85,85,63,54,55,40,44,44,93,68,59,77,109,102,43,82,102,65,116,56,102,104,61,45,67,125,118,133,52,43,64,64,49,51,125,116,66,33,15,35,2,15,7,7,23,17
Pinus,TRSH,pollen,NISP,,125,116,125,120,74,121,125,106,104,115,112,107,106,115,94,145,100,101,103,115,138,126,144,169,200,203,154,162,143,143,130,145,124,100,130,117,134,139,124,140,146,204,162,180,209,206,211,313,351,227,47,84,92,63,108,116,222,179,83,103,36,113,71,48,58,25,72,40
Poaceae,UPHE,pollen,NISP,,14,20,18,29,9,10,14,12,10,5,18,21,12,11,26,10,28,17,11,17,15,13,13,23,18,20,12,18,22,10,14,14,27,17,11,19,22,14,8,4,7,9,5,4,1,6,18,18,17,16,17,11,15,18,18,21,32,51,17,18,14,24,28,25,15,17,27,12
Polemoniaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Pseudotsuga,TRSH,pollen,NISP,,4,7,8,12,3,5,9,7,4,7,5,6,5,2,14,4,6,3,13,7,4,2,3,5,,1,1,3,2,5,2,3,1,3,5,1,4,3,3,2,3,2,,2,1,1,6,8,7,5,,,1,,,,1,1,,4,,1,,,,,,
Quercus,TRSH,pollen,NISP,,9,10,17,22,10,13,5,4,6,5,4,1,3,6,4,4,7,2,5,6,4,3,3,4,5,9,2,12,10,8,10,6,6,6,6,4,16,6,9,7,2,4,4,4,3,1,11,4,7,,,1,7,1,,,4,1,,1,1,,1,,,,,
Ranunculaceae undiff.,UPHE,pollen,NISP,,3,2,,,1,,2,1,1,,,,,,2,,1,,1,,1,1,,,,,,1,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,
Rosaceae,UPHE,pollen,NISP,,,,1,2,1,3,1,,1,,,,,,1,,1,1,,,,1,,,,1,1,,,,,1,,,,6,,2,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,
Rumex,UPHE,pollen,NISP,,2,3,11,,3,1,,,,1,,,5,1,1,,,,3,,,1,,,,,,1,,,,,,,1,2,,,,1,,,,,,,1,1,,,,,,,,,,,1,1,,1,,,,,,
Salix,TRSH,pollen,NISP,,4,2,,3,1,5,3,1,,1,2,1,1,,1,,1,,1,,,1,3,4,2,2,1,1,2,2,,1,1,,3,,4,,,1,2,,,1,1,,1,1,5,2,,,5,3,,5,2,10,1,2,,3,,,,,,
Sarcobatus vermiculatus,TRSH,pollen,NISP,,7,2,4,,5,2,,1,1,4,4,2,5,1,2,2,,2,6,,6,1,1,3,6,4,1,2,2,5,4,2,2,2,,1,5,1,1,1,,5,5,,2,1,1,3,3,3,2,3,,,5,,4,4,,1,1,,2,,,4,,
Sparganium,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Thalictrum,UPHE,pollen,NISP,,3,1,,,,1,,1,1,,2,1,3,,1,1,3,,,1,2,2,1,,5,1,1,4,,4,1,1,6,3,3,2,6,2,2,1,1,6,3,2,1,2,1,3,1,2,1,1,5,1,2,,3,3,,3,,1,,,,1,,
Typha,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Unknown,UNID,pollen/spore,NISP,,29,28,15,18,18,19,21,19,7,10,23,11,13,6,21,10,18,10,17,24,11,9,4,6,7,7,4,6,7,14,12,4,12,8,7,6,13,7,8,6,2,2,2,1,4,1,5,14,15,11,6,7,4,8,4,6,2,15,5,5,4,9,7,7,4,2,12,15
Unknown undiff.,UNID,spore,NISP,,2,2,5,2,2,,1,1,2,,,2,1,2,2,1,,1,,1,2,2,1,1,,,,,6,1,,,4,1,,2,,3,,5,,3,3,1,4,5,,3,4,4,2,5,6,2,1,,3,8,5,4,2,3,,1,,1,1,5
cf. Populus,TRSH,pollen,NISP,,7,3,6,10,1,4,3,2,1,4,4,6,2,,4,3,3,3,2,3,4,1,,,,2,,1,,,,3,,1,,,,1,,,,,,,,,1,5,1,3,,,,,,1,,,,1,,,,,,,,
cf. Sambucus,TRSH,pollen,NISP,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
