"name","group","element","units","context","S61597","S61598","S61599","S61600","S61601","S61602","S61603","S61604","S61605","S61606","S61607","S61608","S61609","S61610","S61611","S61612","S61613","S61614"
Nymphaea,AQVP,pollen,NISP,,,,,,,,,,,,,,,,1,,,1
Pediastrum,ALGA,colony,NISP,,5,19,3,15,12,8,16,15,6,10,15,7,21,13,18,29,16,21
Picea,TRSH,pollen,NISP,,1,,,,1,1,,,,,,,1,1,3,8,4,4
Pinus edulis-type,TRSH,pollen,NISP,,,,,15,,8,,,,5,,6,16,15,6,8,6,15
Pinus flexilis-type,TRSH,pollen,NISP,,,21,16,35,39,24,22,47,31,10,22,18,21,19,38,8,48,34
Pinus subg. Pinus,TRSH,pollen,NISP,,228,209,217,192,194,232,222,171,226,213,233,212,178,148,109,114,114,84
Plantago,UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,,,
Poaceae,UPHE,pollen,NISP,,33,74,35,50,35,42,43,44,54,35,41,49,41,28,67,42,50,30
Polemonium/Gilia,UPHE,pollen,NISP,,,,,1,,,,,1,,,,,,,,,
Pollen concentration,LABO,Lycopodium method,grains/ml,,307153.8,217223.8,213342.1,210885.7,251533.3,209000,252676.5,252587.5,257211.4,235085.7,262641.2,310427.6,245666.7,110679.4,117638.9,83875,98223.53,116390.5
Polygonum sensu lato undiff.,UPHE,pollen,NISP,,,,,,,,,1,,1,,,,,,,,
Populus,TRSH,pollen,NISP,,,1,,2,,1,,1,,,,,,,,1,1,1
Portulacaceae,UPHE,pollen,NISP,,,,,,,1,,,,,,,,,,,,
Potamogetonaceae,AQVP,pollen,NISP,,1,17,11,19,11,18,13,8,3,5,3,1,4,,4,3,4,4
Primula,UPHE,pollen,NISP,,,,,,2,,,,,,,,,,,,,
Prosopis,TRSH,pollen,NISP,,,,,,,1,,,,,,,,,,,,
Prunus,TRSH,pollen,NISP,,,,,1,,,,,,,,1,,,,1,,
Pseudotsuga,TRSH,pollen,NISP,,,1,,,,,,,,,,2,,,,,,
Quercus,TRSH,pollen,NISP,,9,26,21,13,17,29,18,20,10,18,19,29,24,31,31,22,24,29
Ranunculus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,1,,
Rhus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,1,,,
Ribes,TRSH,pollen,NISP,,,,,,,,,,,,,1,,,,,,
Rosaceae undiff.,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,1
Rumex,UPHE,pollen,NISP,,,1,,,,,,,,,,,,,,,,
Salix,TRSH,pollen,NISP,,,,,2,,1,2,,,1,,,,1,2,2,1,
Sarcobatus vermiculatus,TRSH,pollen,NISP,,1,,1,1,1,1,,,,,,,,2,1,,,
Sparganium-type,AQVP,pollen,NISP,,,,,,,,,,4,2,,,2,,13,3,9,15
Stellaria,UPHE,pollen,NISP,,1,,,,,,,,1,,1,,,,,,,
Thalictrum,UPHE,pollen,NISP,,,1,2,1,1,,,1,4,1,,,,,1,3,1,2
Typha latifolia,AQVP,pollen,NISP,,1,1,,,,,,1,2,,,,1,5,4,3,6,3
Unknown,UNID,pollen/spore,NISP,,1,1,2,2,2,2,,2,,1,3,,,2,4,2,4,3
Unknown (monolete) undiff.,UNID,spore,NISP,,,,,1,,,,,,,,,,,1,,2,
Unknown (trilete) undiff.,UNID,spore,NISP,,,1,,,1,1,,2,2,,1,1,,1,2,1,1,1
Utricularia,AQVP,pollen,NISP,,,,,1,1,1,3,1,,1,,1,,,1,1,,1
cf. Brasenia schreberi,AQVP,pollen,NISP,,3,9,6,6,7,4,12,4,11,8,9,12,24,56,59,23,48,32
