"name","group","element","units","context","S186185","S186186","S186187","S186188","S186189","S186190","S186191","S186192","S186193","S186194","S186195","S186196","S186197","S186198","S186199","S186200","S186201","S186202","S186203","S186204","S186205","S186206","S186207","S186208","S186209","S186210","S186211","S186212","S186213","S186214","S186215","S186216","S186217","S186218","S186219","S186220","S186221","S186222","S186223"
Pinus subg. Strobus (small),TRSH,pollen,NISP,,54,30,21,35,26,30,31,22,30,30,32,36,24,22,22,16,20,17,20,14,8,15,10,17,9,9,15,16,10,11,6,10,2,13,3,8,11,26,14
Pinus undiff.,TRSH,pollen,NISP,,64,70,74,100,83,87,93,88,83,92,83,79,83,79,88,65,77,106,102,105,93,106,96,121,104,128,110,81,115,105,124,164,168,123,75,88,92,51,87
Plantago,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,
Poaceae,UPHE,pollen,NISP,,12,19,33,31,24,18,13,28,7,22,28,29,21,17,23,39,36,19,30,9,36,26,51,38,19,37,44,25,17,30,20,19,30,30,27,46,21,9,24
Polemoniaceae,UPHE,pollen,NISP,,1,,,,,,1,1,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,1,,,
Polygonum,UPHE,pollen,NISP,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,1,,
Populus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
Potamogeton,AQVP,pollen,NISP,,1,,2,,,,1,1,1,2,1,,,,,3,1,,,,,2,2,,1,,,,1,,,3,1,,1,,,,
Pseudotsuga,TRSH,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,2,2,1,,,1,,,,,,,,,,,,,
Quercus,TRSH,pollen,NISP,,31,14,7,11,9,8,9,6,12,11,9,5,3,11,8,18,15,13,12,10,14,13,4,16,14,9,11,11,13,13,12,8,10,15,5,4,8,,
Ranunculaceae undiff.,UPHE,pollen,NISP,,1,,,,,,,,,,1,1,1,,,,,,2,1,,,,,,,,,,,,1,1,,1,1,2,,
Rosaceae undiff.,UPHE,pollen,NISP,,,3,1,,,1,,,,,1,,,,,1,2,,,,4,,,1,,,,,2,,,1,,2,,,1,34,
Salix,TRSH,pollen,NISP,,,,2,2,2,1,2,,,2,3,8,4,4,,4,1,1,1,1,6,1,3,2,,,,2,2,,2,7,3,,2,4,6,2,1
Sample quantity,LABO,volume,ml,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sarcobatus,TRSH,pollen,NISP,,5,2,4,2,1,4,2,4,3,6,12,4,4,2,4,7,4,3,5,,6,3,5,4,5,5,6,2,5,4,2,1,4,4,2,5,7,,
Shepherdia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Thalictrum,UPHE,pollen,NISP,,,2,,,,,1,,1,1,1,4,1,1,,3,2,3,3,1,,,2,2,,3,5,,2,,,4,,2,,3,,,
Typha,AQVP,pollen,NISP,,,,,1,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,1,,,
Ulmus,TRSH,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown (monolete, echinate),UNID,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Unknown (monolete, psilate),UNID,spore,NISP,,,,1,,1,2,,,,,1,,,,,1,,,1,1,,,,,1,,,1,,,,2,4,,,,1,,
Unknown (trilete, perine),UNID,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,,
Unknown (trilete, psilate),UNID,spore,NISP,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,1,,,,4,1,,1,,,,
Unknown (trilete, sculptured),UNID,spore,NISP,,,,,,,,,,1,,,,,,,,,,,,,,,,2,1,,,2,,4,1,,1,2,,1,,
Unknown undiff.,UNID,pollen/spore,NISP,,2,2,1,1,,,,1,,1,,2,1,,2,2,2,2,,2,,,1,1,,,,,,,,2,1,1,2,2,2,1,
cf. Amelanchier,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
