"name","group","element","units","context","S3380","S3381","S3382","S3383","S3384","S3385","S3386","S3387","S3388","S3389","S3390","S3391","S3392","S3393","S3394","S3395","S3396","S3397","S3398","S3399","S3400","S3401","S3402","S3403","S3404","S3405","S3406","S3407","S3408","S3409","S3410","S3411","S3412","S3413","S3414","S3415","S3416","S3417","S3418","S3419","S3420","S3421","S3422","S3423","S3424","S3425","S3426","S3427","S3428","S3429","S3430","S3431","S3432","S3433","S3434","S3435","S3436","S3437","S3438","S3439","S3440","S3441","S3442","S3443","S3444","S3445","S3446","S3447","S3448","S3449","S3450","S3451","S3452","S3453","S3454","S3455","S3456","S3457","S3458","S3459","S3460","S3461","S3462","S3463","S3464","S3465","S3466","S3467","S3468","S3469","S3470"
Ranunculaceae undiff.,UPHE,pollen,NISP,,,1,,2,,,1,,1,,2,2,,2,4,,,1,3,,7,1,,,,2,1,4,5,9,5,6,6,6,3,2,6,2,11,7,107,2,1,1,6,,1,1,,1,2,,2,1,2,1,,3,,1,,1,,,,,,1,,2,,,2,,1,2,,,,1,2,3,,1,1,,,,,1,
Ribes,TRSH,pollen,NISP,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosaceae undiff.,UPHE,pollen,NISP,,1,1,,,,1,1,,2,2,,1,2,,4,2,,2,1,2,1,1,4,1,,,,4,,,,2,,,2,,,1,2,,1,,4,5,3,4,2,1,,1,,,1,,1,,3,,1,,1,,4,2,,,,1,1,1,,,,,3,,,,,1,2,2,1,,1,2,,,2,1,
Rubus chamaemorus-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumex acetosella-type,UPHE,pollen,NISP,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,
Salix,TRSH,pollen,NISP,,1,8,5,3,4,3,7,5,5,10,1,3,1,1,9,7,7,6,6,5,4,,5,5,2,4,4,8,8,19,,5,8,2,2,6,4,6,4,5,1,2,2,3,4,3,2,5,,4,3,3,4,,,1,2,1,2,,3,9,3,3,5,1,5,4,8,8,5,,6,15,22,55,48,56,26,9,59,16,20,53,120,26,,1,1,11,5
Sambucus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
Sample quantity,LABO,volume,ml,,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14
Sarcobatus vermiculatus,TRSH,pollen,NISP,,2,3,7,1,1,,3,,1,2,1,7,2,4,1,5,4,1,5,2,,7,,,1,3,2,4,2,,5,3,2,6,7,4,4,2,6,4,4,4,2,5,,4,5,4,6,7,5,4,4,2,3,7,,2,1,4,,,5,,1,3,,4,5,2,2,,1,1,,2,,3,,1,3,,3,,3,3,1,3,,2,1
Saxifraga,UPHE,pollen,NISP,,,1,,4,2,,,,6,,1,,,1,1,3,1,1,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,
Shepherdia argentea,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solanaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Spermatophyta undiff. (trees),TRSH,pollen,NISP,,,,1,3,5,1,1,5,4,1,2,4,2,2,,1,1,4,3,1,,2,2,,6,1,,3,3,,1,,3,1,1,2,7,1,3,1,3,3,6,,1,2,3,4,1,3,1,5,1,,2,2,1,1,2,,2,5,3,4,2,1,1,3,,,,,,,,1,,1,,,,1,,,,,,,,,1
Sphaeralcea-type,UPHE,pollen,NISP,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalictrum,UPHE,pollen,NISP,,,,,1,2,2,7,5,2,2,3,2,5,10,8,13,4,7,9,3,10,8,8,2,,5,2,4,4,8,2,3,4,4,5,6,8,4,7,3,2,7,4,5,8,4,6,2,9,5,2,6,7,8,7,4,,2,3,3,4,4,6,3,5,3,2,5,,4,2,,3,1,1,,,,,3,2,4,,3,1,3,,1,2,1,1
Typha latifolia,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,
Typha/Sparganium undiff.,AQVP,pollen,NISP,,,,,2,,,,,,,,,1,,,,,,,,,1,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Unknown (monolete),UNID,spore,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,19,33,29,,,,4,19,13,11,335
Unknown (trilete) undiff.,UNID,spore,NISP,,,,1,,,,,,,,,,2,1,,,,,,,2,,,,,,,,,1,,,,1,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,2,,1,,,,,1,,,3,,1,,,1,,,,,1,7,1,1,2,44
Urtica,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valeriana,UPHE,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,3,2,,,,,,,,
Vicia-type,UPHE,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,
cf. Lewisia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
cf. Populus,TRSH,pollen,NISP,,,,,,,,1,,,1,,,,,,,,4,,1,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
