"name","group","element","units","context","S35300","S35301","S35302","S35303","S35304","S35305","S35306","S35307","S35308","S35309","S35310","S35311","S35312","S35313","S35314","S35315","S35316","S35317","S35318","S35319","S35320","S35321","S35322","S35323","S35324","S35325","S35326","S35327","S35328"
Caryophyllaceae,UPHE,pollen,NISP,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,
Cyperaceae,UPHE,pollen,NISP,,141,327,480,403,372,409,398,126,285,137,46,86,30,20,29,40,27,20,10,11,17,13,10,7,9,4,8,11,12
Ephedra torreyana-type,TRSH,pollen,NISP,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Ephedra undiff.,TRSH,pollen,NISP,,2,1,,2,3,5,2,4,1,,1,,1,,,2,,1,,,,1,,2,,,,,
Ephedra viridis-type,TRSH,pollen,NISP,,2,,,1,3,4,,,,,,,,,,1,,,,,,,,1,,,,,
Eriogonum,UPHE,pollen,NISP,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
Fabaceae,UPHE,pollen,NISP,,,2,1,,,1,1,,,1,,,,1,,1,,1,,,,,,1,,,,,
Fraxinus,TRSH,pollen,NISP,,2,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
Gentianaceae,UPHE,pollen,NISP,,,3,,1,,,2,1,1,,,,6,,,,,,,2,,1,,1,,,,1,
Juniperus,TRSH,pollen,NISP,,10,2,2,,5,6,5,8,2,2,3,1,10,6,11,10,5,6,8,4,6,2,,1,2,2,4,10,6
Liliaceae,UPHE,pollen,NISP,,,,,,,1,1,,,1,,,,,,,2,,,1,,2,,,,,,1,
Myriophyllum,AQVP,pollen,NISP,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,1
Pediastrum,ALGA,colony,NISP,,1,,1,,15,4,1,5,1,2,,,21,14,1,3,2,2,5,,4,3,6,4,12,5,2,5,15
Picea,TRSH,pollen,NISP,,82,125,98,133,95,118,120,140,119,113,114,115,108,114,93,91,115,129,106,91,118,157,162,119,123,123,110,68,65
Pinus,TRSH,pollen,NISP,,122,121,108,104,118,132,120,117,114,124,97,107,131,118,103,126,107,99,129,113,125,128,110,155,132,132,125,160,110
Poaceae,UPHE,pollen,NISP,,12,24,16,9,21,42,38,7,10,9,14,22,13,12,11,20,9,16,10,17,9,9,7,8,2,1,8,8,9
Polemoniaceae,UPHE,pollen,NISP,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Pseudotsuga,TRSH,pollen,NISP,,,1,1,,1,2,3,,,,1,2,1,1,,,2,1,1,3,,1,1,,3,1,,2,
Quercus,TRSH,pollen,NISP,,5,9,3,4,8,8,4,2,3,1,7,5,7,6,13,12,10,9,10,4,14,8,9,9,3,4,6,4,2
Ranunculaceae undiff.,UPHE,pollen,NISP,,,,,,,,,,,3,,2,1,1,,,2,,2,2,,,,,,,1,2,
Rosaceae,UPHE,pollen,NISP,,12,3,4,,3,3,2,1,3,1,3,,2,2,1,5,,3,,1,,,3,,,1,,,2
Rumex,UPHE,pollen,NISP,,3,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,
Salix,TRSH,pollen,NISP,,24,7,3,3,15,16,130,2,6,4,4,1,,3,5,,3,1,,,1,,,,1,1,,,
Sarcobatus vermiculatus,TRSH,pollen,NISP,,2,1,2,,1,5,,3,,1,1,2,2,1,2,1,3,4,1,2,2,,1,,1,2,1,2,2
Sparganium,AQVP,pollen,NISP,,,,,,,,,,,,,,,1,3,1,2,,,,,1,,,,,,,
Thalictrum,UPHE,pollen,NISP,,,1,,1,,1,2,,1,,2,1,4,3,5,4,2,4,3,2,2,3,,1,3,1,,1,2
Unknown,UNID,pollen/spore,NISP,,14,5,15,14,10,16,12,5,11,4,11,6,4,6,4,7,9,5,12,3,8,3,4,5,4,11,6,4,10
Unknown undiff.,UNID,spore,NISP,,1,,1,,1,,1,1,3,,,,,,,2,1,1,,1,2,2,,1,1,4,3,3,2
Valerianoideae,UPHE,pollen,NISP,,,3,4,3,7,,4,3,4,1,3,,,,,,,,,,,,,,,,,,
cf. Populus,TRSH,pollen,NISP,,,,,,,,,,1,2,1,1,1,1,,,,,,,1,,,,,,,,
