"name","group","element","units","context","S131073","S131074","S131075","S131076","S131077","S131078","S131079","S131080","S131081","S131082","S131083","S131084","S131085","S131086","S131087","S131088","S131089","S131090","S131091","S131092","S131093","S131094","S131095","S131096","S131097","S131098","S131099","S131100","S131101","S131102","S131103","S131104","S131105","S131106","S131107","S131108","S131109"
Cupressaceae,TRSH,pollen,NISP,,3,2,,1,1,1,,,,1,1,1,1,3,2,2,3,3,1,,,1,5,1,,1,1,1,,2,4,5,8,5,6,3,5
Cyperaceae,UPHE,pollen,NISP,,261,552,252,917,409,319,419,963,213,266,262,243,231,172,32,46,259,202,289,120,746,133,119,22,24,8,3,9,2,11,6,3,2,1,,,
Ephedra,TRSH,pollen,NISP,,2,,1,,,3,1,,,2,3,1,,1,,1,2,1,1,,1,,,2,,1,1,,1,1,,,,,1,,2
Eriogonum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
Fraxinus,TRSH,pollen,NISP,,,,,1,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Geraniaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
Indeterminable,UNID,pollen/spore,NISP,,27,23,14,16,21,10,6,12,12,9,7,6,10,9,11,16,9,6,7,10,12,12,16,8,8,4,19,13,18,22,21,31,46,29,48,20,44
Juglans,TRSH,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycopodium spike,LABO,counted,number,,323,417,317,368,293,422,177,152,193,187,86,156,183,289,229,296,302,229,217,75,211,474,210,141,176,126,357,125,159,191,179,79,112,98,42,81,85
Lycopodium tablets,LABO,concentration,grains/tablet,,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500
Lycopodium tablets,LABO,quantity added,number,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Onagraceae,UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,10,1,,,,,,,,,,,,,,,,
Pediastrum,ALGA,colony,NISP,,,,,,,,,,,,,,,,,,,,,,11,6,108,6,3,6,305,1185,607,1800,177,,2,,,,
Picea,TRSH,pollen,NISP,,69,79,83,104,76,77,92,76,82,99,113,183,139,85,106,101,102,13,62,61,21,123,66,70,56,174,102,71,31,17,17,9,24,24,40,15,13
Pinus edulis-type,TRSH,pollen,NISP,,6,12,16,9,24,19,22,11,17,11,16,17,13,19,8,6,18,19,17,8,18,5,8,5,8,6,1,2,1,2,2,2,8,2,,4,4
Pinus subg. Pinus,TRSH,pollen,NISP,,8,10,6,6,2,9,6,3,7,8,2,6,4,14,14,9,16,11,10,10,22,24,8,20,19,16,9,3,2,1,1,,2,1,,2,1
Pinus subg. Strobus undiff.,TRSH,pollen,NISP,,2,14,8,7,3,12,9,8,6,6,7,5,6,3,2,6,10,7,16,4,5,8,3,14,7,10,3,6,9,7,7,3,1,10,,3,7
Pinus undiff.,TRSH,pollen,NISP,,71,74,95,56,76,80,83,49,99,98,89,90,75,110,111,103,104,171,156,135,153,118,115,130,172,84,92,71,110,95,78,79,98,105,139,150,146
Poaceae,UPHE,pollen,NISP,,65,19,21,22,32,26,14,48,7,10,9,6,5,18,8,3,17,8,5,2,11,3,5,4,4,2,3,4,3,6,6,15,5,3,2,1,3
Populus,TRSH,pollen,NISP,,1,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Quercus,TRSH,pollen,NISP,,9,6,15,9,11,4,1,6,5,6,6,5,7,3,1,4,9,6,6,6,7,4,3,3,4,5,3,3,5,6,3,,2,1,,,2
Ribes,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
Rosaceae undiff.,UPHE,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,,2,,1,1,1,,,,,,,,,,,,
Salix,TRSH,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,2,,1,,,,,,
Sample quantity,LABO,volume,ml,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sarcobatus,TRSH,pollen,NISP,,,,,1,,,1,,2,2,2,,3,3,,,,,,1,,,1,1,,1,3,3,1,5,,,,,,,1
Thalictrum,UPHE,pollen,NISP,,,1,,1,1,,1,1,,8,3,1,,1,1,,2,,,16,9,,,,1,,,3,1,,,,,1,,,
Unknown,UNID,pollen/spore,NISP,,6,1,1,1,,2,1,1,,1,,,,2,1,2,,,1,,,,4,,,,,,1,1,,,,,,,1
cf. Carya,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
cf. Celtis,TRSH,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf. Euphorbiaceae,UPHE,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf. Phlox,UPHE,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
cf. Silene,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
